idx,en,vn,word_type,word_type_vn
1,arthropathology,bệnh học khớp,n,danh từ
2,arthropathy,bệnh khớp,n,danh từ
3,arthrophyma,sưng khớp,n,danh từ
4,arthrophyte,dị vật khớp,n,danh từ
5,arthropod,"chân khớp (động vật), tiết chi động vật",n,danh từ
6,Arthropoda,chân khớp (ngành),n,danh từ
7,arthropyosis,sinh mủ khớp,n,danh từ
8,arthrorisis,hạn chế khớp,n,danh từ
9,arthroscintigram,nhấp nháy đồ khớp,n,danh từ
10,arthroscintigraphy,chụp nhấp nháy khớp,n,danh từ
11,arthrosclerosis,cứng khớp,n,danh từ
12,arthroscope,nội soi khớp (máy đo),n,danh từ
13,arthroscopy,nội soi khớp,n,danh từ
15,arthrospore,bào tử chia đốt,n,danh từ
16,arthrosteitis,viêm xương khớp,n,danh từ
17,arthrostomy,mở thông khớp,n,danh từ
18,arthrosynovitis,viêm màng hoạt dịch khớp,n,danh từ
19,arthrotome,dao mở khớp,n,danh từ
20,arthrotomy,mở khớp,n,danh từ
21,arthrotropic,"hướng khớp, ưa khớp",a,tính từ
22,arthrotyphoid,thương hàn khớp,n,danh từ
23,arthroxesis,nạo khớp,n,danh từ
24,article,"đốt, đoạn, khớp",n,danh từ
25,articular,khớp,a,tính từ
26,articulare,điểm Ar (trong đo sọ),n,danh từ
27,articulated,nối bằng khớp động,a,tính từ
28,articulatio,khớp,n,danh từ
29,articulator,"giá khớp, càng nhai (RHM)",n,danh từ
30,articulatory,"phát âm , cấu ân ",a,tính từ
31,articulo,lúc,n,danh từ
32,artifact,"giả tượng, hình giả, sản phẩm nhân tạo",n,danh từ
33,artifactitious,"tạo tác , giả tượng ",a,tính từ
34,artificial,nhân tạo,a,tính từ
35,artio-,chẳn số,pref.,tiền tố
36,Artiodactyla,Ngón chẳn (bộ),n,danh từ
37,artiodactylous,ngón chẳn,a,tính từ
38,artioploid,thể bội chẳn,n,danh từ
39,Artyfechinostomum,Artyfechinostomum (một loại sán lá),n,danh từ
40,aryepiglotticus,cơ phễu-nắp thanh quản,n,danh từ
41,aryteno-,phễu,pref.,tiền tố
42,arytenoepiglottic,phễu-nắp thanh quản,a,tính từ
43,arytenoid,hình phễu,a,tính từ
44,arytenoidectomy,cắt bỏ sụn phễu,n,danh từ
45,arytenoideus,cơ gian phễu,n,danh từ
46,arytenoiditis,viêm sụn phễu,n,danh từ
47,arytenoidopexy,cố định sụn phễu,n,danh từ
48,asacria,không có xương cùng (quái hình),n,danh từ
49,asafetida,a ngùy (cây),n,danh từ
50,asaphia,nói ngọng (dị tật),n,danh từ
51,asbestiform,dạng amian,a,tính từ
52,asbestos,amian,n,danh từ
53,asbestosis,bệnh bụi amian,n,danh từ
54,ascariasis,giun đũa (bệnh),n,danh từ
55,ascaricidal,diệt giun đũa,a,tính từ
56,ascaricide,"diệt giun đũa, diệt giun đũa (thuốc)","n,a","danh từ, tính từ"
57,ascarid,giun đũa,n,danh từ
58,Ascaridia,Giun đũa (bộ),n,danh từ
59,Ascaridoidea,Giun đũa (tổng họ),n,danh từ
